Çalışan Sicil No;Gösterge Adı ;Periyod;Planlanan;Gerçekleşen;Sonuç 
100322;TSMv2 - Pazar İndeksi;1;100;134,4413054;134,4413054
101562;TSMv2 - Pazar İndeksi;1;100;107,0364669;107,0364669
100204;TSMv2 - Pazar İndeksi;1;100;111,4980376;111,4980376
100525;TSMv2 - Pazar İndeksi;1;100;138,3125808;138,3125808
100528;TSMv2 - Pazar İndeksi;1;100;138,2321906;138,2321906
100355;TSMv2 - Pazar İndeksi;1;100;117,0197133;117,0197133
100328;TSMv2 - Pazar İndeksi;1;100;117,1084074;117,1084074
101796;TSMv2 - Pazar İndeksi;1;100;105,7814164;105,7814164
101818;TSMv2 - Pazar İndeksi;1;100;96,74266329;96,74266329
102137;TSMv2 - Pazar İndeksi;1;100;102,9001662;102,9001662
100862;TSMv2 - Pazar İndeksi;1;100;123,0307501;123,0307501
100584;TSMv2 - Pazar İndeksi;1;100;104,7008583;104,7008583
100509;TSMv2 - Pazar İndeksi;1;100;104,4575693;104,4575693
100298;TSMv2 - Pazar İndeksi;1;100;103,4329491;103,4329491
100333;TSMv2 - Pazar İndeksi;1;100;114,0392421;114,0392421
101829;TSMv2 - Pazar İndeksi;1;100;96,33033173;96,33033173
101816;TSMv2 - Pazar İndeksi;1;100;116,517219;116,517219
102381;TSMv2 - Pazar İndeksi;1;100;90,8123337;90,8123337
101925;TSMv2 - Pazar İndeksi;1;100;101,3027007;101,3027007
102360;TSMv2 - Pazar İndeksi;1;100;111,5833064;111,5833064
100522;TSMv2 - Pazar İndeksi;1;100;102,2596414;102,2596414
100529;TSMv2 - Pazar İndeksi;1;100;112,0900265;112,0900265
100392;TSMv2 - Pazar İndeksi;1;100;104,7765463;104,7765463
100379;TSMv2 - Pazar İndeksi;1;100;108,8029596;108,8029596
101841;TSMv2 - Pazar İndeksi;1;100;86,20322869;86,20322869
101023;TSMv2 - Pazar İndeksi;1;100;93,33297083;93,33297083
100950;TSMv2 - Pazar İndeksi;1;100;102,8031396;102,8031396
102260;TSMv2 - Pazar İndeksi;1;100;102,7185987;102,7185987
101276;TSMv2 - Pazar İndeksi;1;100;88,50832397;88,50832397
102140;TSMv2 - Pazar İndeksi;1;100;86,83540627;86,83540627
100335;TSMv2 - Pazar İndeksi;1;100;86,99622175;86,99622175
102357;TSMv2 - Pazar İndeksi;1;100;82,04783971;82,04783971
101547;TSMv2 - Pazar İndeksi;1;100;83,9430142;83,9430142
102289;TSMv2 - Pazar İndeksi;1;100;92,86994735;92,86994735
102385;TSMv2 - Pazar İndeksi;1;100;88,32840265;88,32840265
100540;TSMv2 - Pazar İndeksi;1;100;100,2305913;100,2305913
100674;TSMv2 - Pazar İndeksi;1;100;84,37176153;84,37176153
102264;TSMv2 - Pazar İndeksi;1;100;96,00752536;96,00752536
101666;TSMv2 - Pazar İndeksi;1;100;92,17155177;92,17155177
102262;TSMv2 - Pazar İndeksi;1;100;89,51729548;89,51729548
100766;TSMv2 - Pazar İndeksi;1;100;89,98281493;89,98281493
100357;TSMv2 - Pazar İndeksi;1;100;98,23554131;98,23554131
100138;TSMv2 - Pazar İndeksi;1;100;99,32563037;99,32563037
102366;TSMv2 - Pazar İndeksi;1;100;62,62607472;62,62607472
101329;TSMv2 - Pazar İndeksi;1;100;87,93704451;87,93704451
100579;TSMv2 - Pazar İndeksi;1;100;87,32459757;87,32459757
100650;TSMv2 - Pazar İndeksi;1;100;94,67772057;94,67772057
100686;TSMv2 - Pazar İndeksi;1;100;82,68634625;82,68634625
101924;TSMv2 - Pazar İndeksi;1;100;90,09092957;90,09092957
102367;TSMv2 - Pazar İndeksi;1;100;79,26663106;79,26663106
101020;TSMv2 - Pazar İndeksi;1;100;71,30495071;71,30495071
101279;TSMv2 - Pazar İndeksi;1;100;103,5669245;103,5669245
100422;TSMv2 - Pazar İndeksi;1;100;89,83742666;89,83742666
102392;TSMv2 - Pazar İndeksi;1;100;82,13062933;82,13062933
101909;TSMv2 - Pazar İndeksi;1;100;96,21360484;96,21360484
101817;TSMv2 - Pazar İndeksi;1;100;89,21279399;89,21279399
102263;TSMv2 - Pazar İndeksi;1;100;85,23057167;85,23057167
101661;TSMv2 - Pazar İndeksi;1;100;72,96839586;72,96839586
100675;TSMv2 - Pazar İndeksi;1;100;90,25154484;90,25154484
100292;TSMv2 - Pazar İndeksi;1;100;104,8147445;104,8147445
100514;TSMv2 - Pazar İndeksi;1;100;195,040946;195,040946
100577;TSMv2 - Pazar İndeksi;1;100;169,3496997;169,3496997
100265;TSMv2 - Pazar İndeksi;1;100;136,293413;136,293413
100248;TSMv2 - Pazar İndeksi;1;100;164,7202871;164,7202871
100592;TSMv2 - Pazar İndeksi;1;100;136,2203382;136,2203382
100527;TSMv2 - Pazar İndeksi;1;100;132,5018366;132,5018366
102254;TSMv2 - Pazar İndeksi;1;100;144,7621428;144,7621428
101696;TSMv2 - Pazar İndeksi;1;100;154,9187345;154,9187345
102128;TSMv2 - Pazar İndeksi;1;100;107,0343821;107,0343821
100799;TSMv2 - Pazar İndeksi;1;100;99,95863693;99,95863693
100195;TSMv2 - Pazar İndeksi;1;100;86,6660484;86,6660484
100102;TSMv2 - Pazar İndeksi;1;100;61,04873008;61,04873008
100797;TSMv2 - Pazar İndeksi;1;100;105,8357039;105,8357039
100341;TSMv2 - Pazar İndeksi;1;100;97,5540541;97,5540541
100166;TSMv2 - Pazar İndeksi;1;100;104,5650002;104,5650002
100669;TSMv2 - Pazar İndeksi;1;100;100,1348786;100,1348786
100121;TSMv2 - Pazar İndeksi;1;100;99,81244284;99,81244284
102285;TSMv2 - Pazar İndeksi;1;100;100,4022203;100,4022203
101824;TSMv2 - Pazar İndeksi;1;100;62,43680159;62,43680159
100288;TSMv2 - Pazar İndeksi;1;100;92,36081236;92,36081236
