Çal??an Sicil No;Gösterge Ad? ;Periyot;Ürün;Planlanan;Gerçekle?en;Sonuç 
100071;TSMv1 - Hedef Ürünler Kota Realizasyonu;1;CREBROS;20876,10;15275,59;73,17
100071;TSMv1 - Hedef Ürünler Kota Realizasyonu;1;ELEKTRA PLUS JEL;155208,64;136338,07;87,84
100071;TSMv1 - Hedef Ürünler Kota Realizasyonu;1;HIRUDOID;74446,90;63173,20;84,86
100071;TSMv1 - Hedef Ürünler Kota Realizasyonu;1;MODET;77915,17;109413,30;140,43
100078;TSMv1 - Hedef Ürünler Kota Realizasyonu;1;PHOCUSS  ;34915,71;84617,69;242,35
100078;TSMv1 - Hedef Ürünler Kota Realizasyonu;1;DULOXX;110334,86;145082,96;131,49
100078;TSMv1 - Hedef Ürünler Kota Realizasyonu;1;GYREX;192886,69;238765,23;123,79
100079;TSMv1 - Hedef Ürünler Kota Realizasyonu;1;EVASÝF  ;112636,89;112905,58;100,24
100079;TSMv1 - Hedef Ürünler Kota Realizasyonu;1;SIDATRIA;11696,16;24390,57;208,53
100079;TSMv1 - Hedef Ürünler Kota Realizasyonu;1;ZENTICAVIR;37102,55;68544,37;184,74
100101;TSMv1 - Hedef Ürünler Kota Realizasyonu;1;EVASÝF  ;157949,78;162742,17;103,03
100101;TSMv1 - Hedef Ürünler Kota Realizasyonu;1;SIDATRIA;12422,46;8155,37;65,65
100101;TSMv1 - Hedef Ürünler Kota Realizasyonu;1;ZENTICAVIR;50707,74;71416,68;140,84
100102;TSMv1 - Hedef Ürünler Kota Realizasyonu;1;EVASÝF  ;85899,12;113877,39;132,57
100102;TSMv1 - Hedef Ürünler Kota Realizasyonu;1;SIDATRIA;117776,16;86585,98;73,52
100102;TSMv1 - Hedef Ürünler Kota Realizasyonu;1;ZENTICAVIR;24099,81;54624,16;226,66
100103;TSMv1 - Hedef Ürünler Kota Realizasyonu;1;CREBROS;18501,96;17727,42;95,81
100103;TSMv1 - Hedef Ürünler Kota Realizasyonu;1;ELEKTRA PLUS JEL;113628,80;140418,05;123,58
100103;TSMv1 - Hedef Ürünler Kota Realizasyonu;1;HIRUDOID;79716,73;73328,90;91,99
100103;TSMv1 - Hedef Ürünler Kota Realizasyonu;1;MODET;71459,31;51342,21;71,85
100104;TSMv1 - Hedef Ürünler Kota Realizasyonu;1;CREBROS;14533,77;16773,74;115,41
100104;TSMv1 - Hedef Ürünler Kota Realizasyonu;1;ELEKTRA PLUS JEL;86654,80;114411,09;132,03
100104;TSMv1 - Hedef Ürünler Kota Realizasyonu;1;HIRUDOID;63156,49;63536,01;100,6
100104;TSMv1 - Hedef Ürünler Kota Realizasyonu;1;MODET;49733,55;28482,86;57,27
100105;TSMv1 - Hedef Ürünler Kota Realizasyonu;1;ETKINIA  ;47238,05;64462,00;136,46
100105;TSMv1 - Hedef Ürünler Kota Realizasyonu;1;SAYFREN;16933,81;15424,95;91,09
100105;TSMv1 - Hedef Ürünler Kota Realizasyonu;1;SECITA;183174,82;201432,10;109,97
100118;TSMv1 - Hedef Ürünler Kota Realizasyonu;1;PHOCUSS  ;33039,03;33488,07;101,36
100118;TSMv1 - Hedef Ürünler Kota Realizasyonu;1;DULOXX;80793,37;88621,61;109,69
100118;TSMv1 - Hedef Ürünler Kota Realizasyonu;1;GYREX;164318,59;132597,58;80,7
100119;TSMv1 - Hedef Ürünler Kota Realizasyonu;1;CREBROS;17106,47;17119,58;100,08
100119;TSMv1 - Hedef Ürünler Kota Realizasyonu;1;ELEKTRA PLUS JEL;102014,49;95917,69;94,02
100119;TSMv1 - Hedef Ürünler Kota Realizasyonu;1;HIRUDOID;93822,32;77059,04;82,13
100119;TSMv1 - Hedef Ürünler Kota Realizasyonu;1;MODET;71411,48;68384,55;95,76
100121;TSMv1 - Hedef Ürünler Kota Realizasyonu;1;EVASÝF  ;110565,28;102509,52;92,71
100121;TSMv1 - Hedef Ürünler Kota Realizasyonu;1;SIDATRIA;61955,17;83864,00;135,36
100121;TSMv1 - Hedef Ürünler Kota Realizasyonu;1;ZENTICAVIR;39314,34;42555,40;108,24
100122;TSMv1 - Hedef Ürünler Kota Realizasyonu;1;CREBROS;25166,31;19382,07;77,02
100122;TSMv1 - Hedef Ürünler Kota Realizasyonu;1;ELEKTRA PLUS JEL;127484,48;127142,70;99,73
100122;TSMv1 - Hedef Ürünler Kota Realizasyonu;1;HIRUDOID;68888,85;65328,55;94,83
100122;TSMv1 - Hedef Ürünler Kota Realizasyonu;1;MODET;51308,81;60125,24;117,18
100138;TSMv1 - Hedef Ürünler Kota Realizasyonu;1;BRONCHOREST;11920,60;11510,86;96,56
100138;TSMv1 - Hedef Ürünler Kota Realizasyonu;1;DICLOFLAM;106176,43;92245,03;86,88
100138;TSMv1 - Hedef Ürünler Kota Realizasyonu;1;PARAFON/X;81302,08;76466,57;94,05
100140;TSMv1 - Hedef Ürünler Kota Realizasyonu;1;ETKINIA  ;58841,03;57265,27;97,32
100140;TSMv1 - Hedef Ürünler Kota Realizasyonu;1;SAYFREN;18133,57;22461,94;123,87
100140;TSMv1 - Hedef Ürünler Kota Realizasyonu;1;SECITA;164255,90;159576,24;97,15
