Çalışan Sicil No;Gösterge Adı ;Periyot;Planlanan;Gerçekleşen;Sonuç
100506;TSMv1 - Toplam Grup Kota Realizasyonu;4;133940,4118;84749,21;63,27381621
100506;TSMv1 - Toplam Grup Kota Realizasyonu;5;152402,6831;106130,1;69,63794722
100506;TSMv1 - Toplam Grup Kota Realizasyonu;6;141491,1127;113599,3201;80,2872477
100119;TSMv1 - Toplam Grup Kota Realizasyonu;4;144234,6133;123997,58;85,96936419
100119;TSMv1 - Toplam Grup Kota Realizasyonu;5;161658,1762;143673,52;88,87488611
100119;TSMv1 - Toplam Grup Kota Realizasyonu;6;149763,0674;121242,8602;80,95644827
100104;TSMv1 - Toplam Grup Kota Realizasyonu;4;109709,6834;94541,17;86,1739521
100104;TSMv1 - Toplam Grup Kota Realizasyonu;5;124289,6936;126936,98;102,1299324
100104;TSMv1 - Toplam Grup Kota Realizasyonu;6;114720,8836;94434,36012;82,31662547
100336;TSMv1 - Toplam Grup Kota Realizasyonu;4;166484,4658;182859,8;109,8359533
100336;TSMv1 - Toplam Grup Kota Realizasyonu;5;188199,908;177208,31;94,15961565
100336;TSMv1 - Toplam Grup Kota Realizasyonu;6;174304,1195;149144,3502;85,56559114
100450;TSMv1 - Toplam Grup Kota Realizasyonu;4;141431,1655;110765,16;78,31736349
100450;TSMv1 - Toplam Grup Kota Realizasyonu;5;159500,709;102114,65;64,02143957
100450;TSMv1 - Toplam Grup Kota Realizasyonu;6;147487,6642;94495,85018;64,07034153
100711;TSMv1 - Toplam Grup Kota Realizasyonu;4;153365,8372;155058,31;101,1035527
100711;TSMv1 - Toplam Grup Kota Realizasyonu;5;180212,5831;128861,85;71,50546748
100711;TSMv1 - Toplam Grup Kota Realizasyonu;6;166129,0619;122205,8402;73,56078388
100626;TSMv1 - Toplam Grup Kota Realizasyonu;4;176699,0328;186684,44;105,651082
100626;TSMv1 - Toplam Grup Kota Realizasyonu;5;200678,2149;146362,62;72,93398541
100626;TSMv1 - Toplam Grup Kota Realizasyonu;6;185543,6024;199866,0902;107,7192033
100444;TSMv1 - Toplam Grup Kota Realizasyonu;4;175434,1895;217897,56;124,2047292
100444;TSMv1 - Toplam Grup Kota Realizasyonu;5;195435,6527;197931,48;101,2770584
100444;TSMv1 - Toplam Grup Kota Realizasyonu;6;182489,8273;198154,6502;108,583943
100462;TSMv1 - Toplam Grup Kota Realizasyonu;4;157970,819;156122,19;98,8297655
100462;TSMv1 - Toplam Grup Kota Realizasyonu;5;178615,5486;124073,43;69,46395819
100462;TSMv1 - Toplam Grup Kota Realizasyonu;6;166155,025;139967,8701;84,23932417
100574;TSMv1 - Toplam Grup Kota Realizasyonu;4;142130,529;147346,61;103,669923
100574;TSMv1 - Toplam Grup Kota Realizasyonu;5;159314,1964;151422,6;95,04652028
100574;TSMv1 - Toplam Grup Kota Realizasyonu;6;147591,1199;124900,4002;84,62595873
100467;TSMv1 - Toplam Grup Kota Realizasyonu;4;147821,1069;169829,1;114,8882616
100467;TSMv1 - Toplam Grup Kota Realizasyonu;5;166670,2587;148798,88;89,2774039
100467;TSMv1 - Toplam Grup Kota Realizasyonu;6;155374,8052;169671,3301;109,2013148
100465;TSMv1 - Toplam Grup Kota Realizasyonu;4;184375,1796;210570,36;114,2075416
100465;TSMv1 - Toplam Grup Kota Realizasyonu;5;206734,751;165815,39;80,20682988
100465;TSMv1 - Toplam Grup Kota Realizasyonu;6;191793,7472;135639,8902;70,72174781
100103;TSMv1 - Toplam Grup Kota Realizasyonu;4;142442,5541;136818,49;96,05169669
100103;TSMv1 - Toplam Grup Kota Realizasyonu;5;160735,468;127394,56;79,25728006
100103;TSMv1 - Toplam Grup Kota Realizasyonu;6;149086,7127;141008,8401;94,58176224
100250;TSMv1 - Toplam Grup Kota Realizasyonu;4;137021,5388;141273,1;103,1028415
100250;TSMv1 - Toplam Grup Kota Realizasyonu;5;155060,0332;94698,2;61,07195905
100250;TSMv1 - Toplam Grup Kota Realizasyonu;6;143982,9366;149500,6402;103,8321927
100662;TSMv1 - Toplam Grup Kota Realizasyonu;4;144445,4846;174403,22;120,7398213
100662;TSMv1 - Toplam Grup Kota Realizasyonu;5;162783,6021;169055,62;103,8529789
100662;TSMv1 - Toplam Grup Kota Realizasyonu;6;150526,1197;171589,4502;113,9931398
100581;TSMv1 - Toplam Grup Kota Realizasyonu;4;169520,1633;149276,22;88,05809118
100581;TSMv1 - Toplam Grup Kota Realizasyonu;5;190933,2765;131701,53;68,97777716
100581;TSMv1 - Toplam Grup Kota Realizasyonu;6;177405,213;137309,2402;77,39865019
100272;TSMv1 - Toplam Grup Kota Realizasyonu;4;151425,9441;106636,39;70,42147936
100272;TSMv1 - Toplam Grup Kota Realizasyonu;5;171559,4916;160471,72;93,53706896
100272;TSMv1 - Toplam Grup Kota Realizasyonu;6;158255,108;123917,8502;78,30259113
100293;TSMv1 - Toplam Grup Kota Realizasyonu;4;131649,3268;125954,72;95,67441255
100293;TSMv1 - Toplam Grup Kota Realizasyonu;5;148753,2134;104817,86;70,464266
100293;TSMv1 - Toplam Grup Kota Realizasyonu;6;138401,3646;140221,5002;101,3151139
100358;TSMv1 - Toplam Grup Kota Realizasyonu;4;148893,9497;149083,6;100,1273727
100358;TSMv1 - Toplam Grup Kota Realizasyonu;5;168029,8098;132310,03;78,7419983
100358;TSMv1 - Toplam Grup Kota Realizasyonu;6;155669,7468;168845,1702;108,463702
100356;TSMv1 - Toplam Grup Kota Realizasyonu;4;195376,2618;253880,76;129,9445274
100356;TSMv1 - Toplam Grup Kota Realizasyonu;5;218491,682;213484,82;97,70844274
100356;TSMv1 - Toplam Grup Kota Realizasyonu;6;204826,442;232460,3504;113,4913774
100670;TSMv1 - Toplam Grup Kota Realizasyonu;4;176543,9378;194349,16;110,0854339
100670;TSMv1 - Toplam Grup Kota Realizasyonu;5;200501,7237;147365,97;73,49860502
100670;TSMv1 - Toplam Grup Kota Realizasyonu;6;186628,7465;176060,0101;94,33702657
